Hash,File,Operator,Start,End,StartLine,EndLine,Original,Replacement,Status,Time(ms)
mb9413841,/Users/harshsingh/metana-bootcamp/module-4/contracts/ForgeToken.sol,AVR,1195,1209,40,40,_forgeContract,address(this),killed,2390
m89b4b7a2,/Users/harshsingh/metana-bootcamp/module-4/contracts/ForgeToken.sol,AVR,1195,1209,40,40,_forgeContract,address(0),killed,2445
mef625778,/Users/harshsingh/metana-bootcamp/module-4/contracts/ForgeToken.sol,BOR,986,990,33,33," == "," <= ",live,2404
medecf3eb,/Users/harshsingh/metana-bootcamp/module-4/contracts/ForgeToken.sol,BOR,986,990,33,33," == "," >= ",live,2426
m4c645798,/Users/harshsingh/metana-bootcamp/module-4/contracts/ForgeToken.sol,BOR,986,990,33,33," == ","  < ",killed,2494
ma885c1fe,/Users/harshsingh/metana-bootcamp/module-4/contracts/ForgeToken.sol,BOR,986,990,33,33," == ","  > ",killed,2408
m81c41f9a,/Users/harshsingh/metana-bootcamp/module-4/contracts/ForgeToken.sol,BOR,986,990,33,33," == "," != ",killed,2443
m5f967513,/Users/harshsingh/metana-bootcamp/module-4/contracts/ForgeToken.sol,BOR,1325,1329,45,45," || "," && ",killed,2382
mb1301603,/Users/harshsingh/metana-bootcamp/module-4/contracts/ForgeToken.sol,BOR,1309,1313,45,45," || "," && ",killed,2362
ma312c6d8,/Users/harshsingh/metana-bootcamp/module-4/contracts/ForgeToken.sol,BOR,1304,1308,45,45," == "," <= ",live,2626
m099ca190,/Users/harshsingh/metana-bootcamp/module-4/contracts/ForgeToken.sol,BOR,1304,1308,45,45," == "," >= ",killed,2360
m3093fc79,/Users/harshsingh/metana-bootcamp/module-4/contracts/ForgeToken.sol,BOR,1304,1308,45,45," == ","  < ",killed,2577
mae023ae6,/Users/harshsingh/metana-bootcamp/module-4/contracts/ForgeToken.sol,BOR,1304,1308,45,45," == ","  > ",killed,3019
m2c5894b8,/Users/harshsingh/metana-bootcamp/module-4/contracts/ForgeToken.sol,BOR,1304,1308,45,45," == "," != ",killed,2632
